Method,apex_accuracy,apex_f1_macro,apex_f1_weighted,endless_accuracy,endless_f1_macro,endless_f1_weighted,fps_accuracy,fps_f1_macro,fps_f1_weighted,gallery_accuracy,gallery_f1_macro,gallery_f1_weighted,gun_accuracy,gun_f1_macro,gun_f1_weighted,platform_accuracy,platform_f1_macro,platform_f1_weighted,solid_accuracy,solid_f1_macro,solid_f1_weighted,tiny_accuracy,tiny_f1_macro,tiny_f1_weighted,topdown_accuracy,topdown_f1_macro,topdown_f1_weighted
continue_finetune_layer0_results,0.7512,0.7375,0.7507,0.6742,0.6502,0.6724,0.7456,0.7235,0.7458,0.7084,0.6594,0.7006,0.7563,0.7387,0.7546,0.7281,0.7085,0.7282,0.7531,0.7201,0.7516,0.7673,0.7555,0.7674,0.7678,0.7455,0.7695
finetune_layer0_results,0.7948,0.7852,0.7956,0.7277,0.7045,0.723,0.7994,0.7825,0.7988,0.7664,0.7382,0.7626,0.7948,0.7816,0.7942,0.7788,0.7617,0.7763,0.7859,0.7696,0.7865,0.7689,0.7479,0.7669,0.7849,0.7606,0.7832
full_finetuning_results,0.7681,0.7547,0.7666,0.6994,0.6739,0.6945,0.7311,0.7061,0.7301,0.7127,0.6689,0.7018,0.7452,0.7332,0.7458,0.7223,0.7111,0.7243,0.7505,0.737,0.7519,0.7752,0.756,0.7729,0.7364,0.7207,0.7392
